word,number
點,6236
台股,6109
指數,5582
億元,5524
元,5392
市場,4053
被動,3879
元件,3864
股價,3819
營收,3542
外資,3328
表現,3195
國巨,3077
持續,2756
今年,2508
族群,2506
電子,2385
中,2290
公司,2283
法人,2166
成長,2094
台積電,2067
類股,2038
上漲,1911
美國,1887
產品,1878
KY,1874
表示,1847
今日,1774
下跌,1767
賣超,1753
目前,1737
反彈,1731
華新科,1609
獲利,1595
奇力新,1575
買超,1573
預期,1558
震盪,1544
達,1524
影響,1513
新,1487
美股,1437
新高,1417
去年,1410
高,1396
季,1394
股,1392
帶動,1339
逾,1325
產業,1320
股市,1319
個股,1316
可望,1316
台灣,1314
需求,1312
漲幅,1301
MLCC,1283
大立光,1283
終場,1238
購,1232
出現,1203
走勢,1199
相關,1182
車用,1172
鴻海,1170
漲價,1164
短線,1162
全球,1159
中國,1156
約,1154
近期,1151
包括,1137
投資,1136
前,1132
觀察,1131
大盤,1130
營運,1121
投信,1110
蘋果,1109
指出,1097
貿易戰,1095
國際,1095
強勢,1082
昨日,1056
今天,1054
主要,1012
早盤,1011
成交量,1011
跌幅,1010
資金,1009
業績,1002
三大,1000
整理,999
盤中,995
價格,981
機會,965
半導體,956
大漲,951
認購,940
美,937
相對,934
張,917
增加,913
受惠,913
季線,911
一度,904
年線,897
漲,895
客戶,892
未來,890
行情,889
留意,876
合併,872
超過,869
預估,869
作收,866
基金,860
維持,857
分,857
下半年,833
漲停,831
產能,829
億,828
廠,823
矽晶圓,820
貿易,820
股票,819
公布,818
年增,816
元大,813
權值股,811
每股,804
金融,796
操作,795
禾伸堂,792
壓力,776
展望,765
收在,762
盤面,761
支撐,761
方面,760
整體,758
財報,755
多單,753
電,746
題材,740
跌,737
呈現,726
低,726
歷史,720
明年,719
跌破,715
賣壓,712
看好,705
加權,704
趨勢,703
出貨,699
月線,698
均線,696
指標,689
創,687
投資人,687
口,686
旺季,685
大陸,685
經濟,677
進入,673
關卡,672
同期,671
汽車,668
正,667
手機,664
認為,657
美元,650
未,649
美式,647
台北,645
激勵,644
成,633
分析,628
K,626
概念股,626
來到,625
累計,624
同步,622
之上,620
科技,619
說,608
訂單,604
格局,601
動能,600
新台幣,597
買盤,593
成為,593
蘋概股,591
建議,590
挑戰,586
傳產,574
淨,571
連續,569
再度,568
自營商,567
高點,566
交易,563
拉回,561
盤勢,560
部,559
明顯,559
收購,557
技術面,553
技術,551
上半年,550
億美,550
多頭,539
大跌,533
附近,531
重挫,531
高檔,530
布局,530
中美,528
信昌,524
收,518
企業,518
法說,513
零組件,511
金額,509
晶片,509
創下,508
盈餘,505
台指期,504
電子股,504
半年線,504
供應鏈,504
報導,503
突破,498
利多,498
設備,497
缺貨,495
弱勢,495
後續,495
台塑,495
KD,494
基本面,494
區間,489
應用,488
短期,483
EPS,482
走揚,481
日線,481
分析師,480
公開,477
TW,476
集團,471
工商時報,467
皆,466
大關,464
擴大,464
毛利率,464
強勁,463
時,462
開盤,461
是否,459
最近,459
優於,459
多方,459
因素,459
提升,457
合計,456
新聞,456
台,456
受,453
修正,452
成交值,452
第三季,451
關稅,450
道瓊,450
尾盤,450
內容,446
收盤價,446
電容,440
現金,440
關注,435
發展,434
波段,433
川普,432
工業,432
走高,432
廠商,431
昨,430
純益,428
買,428
金融股,428
水泥,426
智慧,426
保守,425
大毅,424
日本,424
預計,421
大幅,420
已經,418
量能,418
櫃買,417
IC,417
融資,416
亞股,416
持股,415
投顧,413
股份,411
跌深,410
記者,410
倍,410
集中,408
低點,408
生產,407
龍頭,407
新興,404
顯示,404
平盤,403
選股,399
原文,396
上市,396
外,395
本益比,392
交易日,392
富邦,391
力道,391
統一,391
單月,390
股王,389
村田,387
聯發科,387
減少,387
部位,386
上揚,385
收盤,384
來源,382
升息,381
推升,380
國泰金,377
政策,377
生技,377
樂觀,377
宣布,376
第二季,375
風險,375
恐,374
後市,372
陸續,371
買賣,370
失守,369
買進,368
有限,366
開出,365
期貨,365
景氣,364
之下,363
設計,363
變化,363
時間,363
營業日,362
本周,360
環球晶,359
經理人,359
延續,357
空間,357
拖累,357
全面,357
玉晶光,356
MOSFET,355
加碼,355
電阻,354
效應,354
平均,354
餘額,353
殖利率,353
檔,353
為主,352
銷售,352
可成,350
https,349
