word,number
公司,344903
元,332940
市場,263214
億元,211118
美國,193035
中國,185016
基金,182005
表示,177648
點,177327
美元,175604
指數,172926
投資,153174
今年,153041
營收,151175
台灣,132677
中,126895
台股,122605
全球,121001
交易,119520
成長,114999
目前,113849
新,113207
報導,110239
去年,107076
說,100249
上漲,100095
持續,97997
經濟,97315
指出,96601
股價,95539
金額,93667
大陸,93026
萬,92586
約,91953
價格,90866
億,90466
外資,88008
產品,86407
人民幣,84197
前,83210
企業,83126
新聞,82141
法人,82079
增加,81538
高,80665
下跌,79100
股票,77571
表現,76835
相關,76650
影響,75238
預期,73665
產業,71390
季,71241
未來,69489
金融,69432
銀行,69393
獲利,68773
台北,68279
國際,68182
公告,67637
新台幣,67339
達,66399
股,65955
時,64780
張,63956
今天,63688
主要,63133
政府,62409
每股,61256
億美,61012
發展,60969
需求,60176
資訊,59485
股市,59406
認為,59025
營運,57831
資金,57597
買,57480
股份,57398
同期,56482
營業,54966
記者,54319
公開,53920
包括,53408
日本,52883
分,52143
新高,51801
顯示,51621
電子,51597
蘋果,50404
單位,50368
證券,50278
台積電,49840
漲,49252
科技,49077
資產,49046
技術,48881
公布,48873
明年,48650
累計,48432
來源,47680
政策,47547
貿易,47533
期貨,47439
內容,47369
超過,47355
進行,47269
發生,47022
機率,46975
請,46254
適用,46220
預估,46202
新興,46168
發行,45985
有限,45868
合併,45866
建議,45837
今日,45772
國家,45751
時間,45610
投資人,45356
可望,45205
財務,44984
跌,44971
減少,44844
應,44348
逾,44235
預計,43909
近期,43876
年增,43807
上市,43678
問題,43578
KY,43542
川普,43194
出現,42620
集團,42362
出場,42312
萬元,42147
漲幅,41999
已經,41966
中心,41911
累積,41508
手機,41266
服務,41211
業務,40797
多單,40701
維持,40661
機會,40480
盈餘,40400
資料,40249
帶動,40024
日期,39878
客戶,39835
關係,39380
未,39268
債券,39167
最近,38933
一個,38906
合作,38878
類股,38730
事項,38728
跌破,38697
決定,38264
成為,38182
提供,38129
分析,38048
現金,37757
智慧,37602
報告,37323
家,37281
低,36823
銷售,36448
貨幣,36437
外,36422
整體,36407
淨利,36284
方面,36179
現在,35907
收入,35904
連續,35823
成本,35773
相對,35686
鴻海,35552
生產,35525
重大,35419
汽車,35179
部,35152
美股,35049
股東,34936
com,34857
買超,34804
綜合,34625
買賣,34442
訊息,34438
重要,34168
成交量,34141
原文,34003
風險,33658
PERCENTRANK,33174
董事會,33123
創,33052
合計,32990
取得,32927
利率,32910
數據,32895
仟元,32851
損益,32671
持股,32667
是否,32519
做,32220
收益,32152
本次,31996
賣超,31976
董事長,31903
損失,31809
平均,31733
計畫,31508
業績,31426
機構,31223
總統,31131
透過,31092
反彈,30984
董事,30954
調整,30938
系統,30793
收,30679
繼續,30500
成,30446
行情,30265
長期,30233
媒體,30189
名稱,30113
iPhone,30095
宣布,30066
跌幅,29964
亞洲,29750
工業,29700
標的,29697
項目,29613
中央社,29522
B,29488
貿易戰,29445
管理,29386
目標,29221
策略,29161
歷史,29155
高收益債,29126
半導體,29091
日圓,29026
觀測站,28963
提升,28827
升息,28819
出貨,28798
比例,28571
占,28502
呈現,28499
非,28489
震盪,28484
商品,28420
上半年,28396
買回,28288
整理,28285
期間,28227
終場,28070
希望,28021
業者,27967
走勢,27959
國內,27810
產能,27766
認購,27761
收盤,27421
處分,27324
能力,27278
利益,27214
增長,27194
投信,27162
子公司,27083
月份,27060
過去,26973
推出,26962
報,26950
K,26822
事實,26757
應該,26626
費用,26559
進入,26553
方式,26550
觀察,26541
正,26540
下半年,26508
訂單,26442
日電,26286
https,26174
心得,26138
族群,26117
積極,26106
分析師,25944
財報,25943
淨,25928
應用,25912
自營商,25897
參考,25844
關稅,25632
壓力,25589
最後,25554
分類,25470
穩定,25469
大漲,25439
原油,25418
美,25353
想,25333
購,25330
三大,25307
品牌,25272
大幅,25055
地區,25024
情況,25014
元大,25012
開發,25006
個股,24868
使用,24773
趨勢,24754
大立光,24638
規定,24613
進一步,24570
完成,24519
操作,24512
成交,24488
組合,24464
大盤,24452
券,24433
機制,24431
員工,24429
受惠,24277
下滑,24273
交易日,24206
擴大,24202
設備,24147
買進,24143
決議,24117
編者,24063
召開,23952
相較,23942
會議,23934
連結,23903
當日,23901
敘明,23813
收盤價,23685
配息,23638
年度,23584
明顯,23582
措施,23572
因素,23461
央行,23357
受,23318
看好,23230
統計,23226
餘額,23151
資本,23131
主管,23044
原因,23027
調查,23000
規模,22992
歐洲,22960
之後,22951
強調,22933
研究,22929
匯率,22908
工商時報,22756
廠,22679
指標,22667
說明,22631
早盤,22593
倍,22558
股利,22414
短線,22398
EPS,22312
消息,22279
關係人,22272
台,22262
旗下,22253
工作,22220
展望,22218
第三季,22125
委員會,22062
要求,22000
狀況,21971
說明會,21942
獨立,21924
稅,21896
昨日,21863
融資,21712
推動,21687
獲得,21673
支撐,21665
評論,21643
網路,21642
賣出,21509
需要,21368
毛利率,21363
導致,21328
報價,21313
價值,21136
持有,21130
動能,21104
收在,20913
數量,20808
MoneyDJ,20801
平台,20790
英國,20776
創下,20774
因應,20768
作收,20584
出口,20551
處理,20546
辦理,20386
平衡,20371
知道,20294
昨,20243
香港,20226
兌,20121
盤中,20109
情形,20062
自行,20028
領域,19998
型,19926
能源,19922
優於,19816
無法,19798
造成,19796
殖利率,19763
短期,19763
油價,19729
水準,19683
廠商,19682
推薦,19605
代表,19598
創新,19418
晶片,19336
提高,19325
三星,19310
相當,19299
次,19263
提出,19182
普通股,19115
百分點,19099
突破,19067
營業日,19009
收購,18970
一度,18950
賺,18896
交易所,18869
集中,18841
之前,18824
http,18808
事業,18760
後續,18733
建設,18726
研發,18724
條件,18690
運用,18662
總,18560
行動,18526
開盤,18518
面板,18515
海外,18513
高點,18501
世界,18490
比較,18395
支持,18377
來到,18306
民眾,18237
新臺幣,18111
兆,18094
低於,18083
消費,18060
實際,18040
達到,17961
景氣,17954
幣,17921
口,17799
種類,17765
活動,17752
發文,17745
財經,17728
中美,17723
月底,17720
空單,17705
方案,17684
名,17678
申請,17678
上揚,17503
布局,17487
虧損,17448
進口,17405
環境,17388
設計,17365
比率,17328
一年,17316
台幣,17307
第二季,17278
正式,17260
到期,17229
印度,17196
消費者,17190
解決,17185
旺季,17174
比重,17093
年底,17058
人士,17037
邀請,16942
並不,16842
經營,16842
面臨,16788
報表,16759
修正,16755
雙方,16684
權益,16675
上海,16653
淨值,16641
紀錄,16634
亞太,16618
輸入,16600
標準,16596
高達,16583
衝擊,16522
基礎,16510
總額,16498
挑戰,16450
加權,16435
安全,16420
一直,16403
更多,16378
同步,16373
發布,16357
支出,16320
執行,16317
股數,16308
真的,16301
直接,16254
上櫃,16233
台指期,16224
計算,16202
先,16201
供,16196
降低,16176
漲跌,16142
下降,16130
製造,16097
全面,16085
關注,16079
進場,16027
醫療,15992
上升,15972
期,15954
特別,15944
日前,15920
減資,15909
元件,15889
天,15847
左右,15835
信心,15831
皆,15787
參與,15761
這是,15757
再度,15745
強勁,15701
最大,15656
強勢,15651
作者,15559
一定,15556
符合,15544
大跌,15488
思考,15469
陳,15461
股息,15458
年減,15408
激勵,15406
兩岸,15353
將在,15337
道瓊,15283
接受,15281
發表,15268
空間,15244
意見,15212
供應鏈,15209
規範,15187
預測,15169
均線,15162
ETF,15117
太,15075
含,15043
電信,15022
純益,15019
協議,14997
庫存,14994
聯準會,14960
看到,14932
總經理,14898
重挫,14897
區間,14851
黃金,14850
第四季,14792
共同,14773
AI,14768
加碼,14710
度,14680
製造業,14676
陸續,14674
社會,14645
有價證券,14641
本益比,14613
限制,14562
基本面,14530
進,14515
樂觀,14488
富邦,14484
多頭,14418
舉行,14416
Fed,14387
競爭,14387
構成,14369
淨額,14359
停損,14345
退場,14318
賣,14295
以下,14287
超,14277
低點,14232
部位,14226
點或,14188
作出,14151
錢,14132
保證,14119
股權,14088
原,14088
帶來,14075
成功,14045
討論,13991
現貨,13951
形式,13911
新低,13865
發現,13861
商業,13822
遊戲,13820
漲破,13807
母公司,13800
停止,13799
全,13793
實施,13704
人員,13662
漲停,13619
改善,13618
金管會,13590
格局,13556
櫃買,13554
增減,13526
不斷,13507
韓國,13490
實現,13484
關鍵,13459
國巨,13396
準備,13390
化,13381
變化,13349
政治,13340
多元,13340
被動,13330
採用,13321
評估,13315
附近,13310
紐約,13294
投入,13287
資金貸,13224
美分,13191
開放,13177
經理人,13161
選擇權,13102
舉辦,13079
暨,13069
成立,13059
重點,13051
需,13048
地方,13045
石油,13027
讀者,12973
選舉,12938
幅度,12916
波動,12887
為主,12884
美式,12861
留意,12853
達成,12848
同意,12803
生技,12782
本文,12778
買盤,12695
公債,12689
聯發科,12580
新任,12573
昨天,12568
當時,12541
掛牌,12487
同月,12467
貶值,12454
之用,12445
高於,12416
支付,12404
規劃,12391
車用,12379
電腦,12374
改革,12362
變動,12355
長,12334
新增,12304
結構,12285
如因,12280
招攬,12279
多重,12272
訂立,12261
精實,12257
城市,12240
歐盟,12237
光電,12213
S,12212
高檔,12190
招致,12187
將會,12185
毛利,12182
上月,12153
尚未,12134
務請,12133
引發,12129
覺得,12111
無涉,12094
誘使,12093
移轉,12067
利多,12059
先前,12058
快速,12053
傳統,12047
賣壓,12036
申述,12032
概與,12024
團隊,12020
單季,11999
就業,11964
參加,11922
優勢,11916
一下,11898
市值,11876
組織,11870
注意,11839
逐漸,11821
法說,11818
一次,11817
大學,11812
衰退,11805
重新,11795
確定,11764
本期,11763
轉讓,11763
尤其,11740
代號,11730
TW,11703
信用,11691
遭,11646
傳出,11632
月線,11631
增資,11608
北京,11602
週五,11586
申報,11585
貢獻,11569
避險,11562
選擇,11542
技術面,11542
案,11516
聯電,11494
中華,11493
位數,11486
淨損,11478
德國,11464
力道,11462
階段,11447
啟動,11428
這種,11424
專業,11386
正在,11345
間,11337
降至,11336
恐,11300
記憶體,11293
擁有,11285
券商,11262
則是,11251
走高,11230
資源,11229
估計,11226
每年,11219
推升,11209
友達,11184
協助,11159
電,11157
南韓,11156
GDP,11140
供應商,11114
權值股,11113
會計師,11103
控制,11098
有望,11090
聯合,11090
走揚,11058
將於,11053
宏達電,11048
考量,11028
供應,11027
拉回,11013
股東會,11003
季線,10987
處份,10978
統一,10977
板規,10971
土地,10966
官員,10959
行業,10929
健康,10912
權利,10899
話,10878
值,10869
關卡,10857
結束,10845
主席,10829
整合,10822
民進黨,10814
張數,10798
事件,10790
月配,10759
吸引,10756
第一,10751
姓名,10747
鋼鐵,10744
看法,10734
吋,10724
至少,10714
www,10707
授權,10704
商機,10699
類型,10667
日起,10656
台塑,10651
